id,aircraft_registration,aircraft_model,aircraft_code,airline_id
377,PH-EZZ,,E190,8.0
378,LV-CHS,Embraer E190AR,E190,13.0
379,OH-LKK,,E190,17.0
380,P4-BFE,,E190,23.0
381,HB-JVN,,E190,21.0
382,N228JB,,E190,14.0
383,XA-ACJ,Embraer E190LR,E190,19.0
384,F-HBLL,,E190,3.0
385,N283JB,,E190,14.0
386,YV2966,,E190,24.0
387,CS-TPT,,E190,25.0
388,N317JB,,E190,14.0
389,PH-EXY,,E190,8.0
390,LV-CDY,,E190,13.0
391,CS-TPZ,,E190,25.0
392,N337JB,,E190,14.0
393,LV-FPS,,E190,13.0
394,5Y-FFD,,E190,26.0
395,F-HBLB,Embraer E190LR,E190,3.0
396,CS-TPV,,E190,25.0
397,N236JB,,E190,14.0
398,XA-GAG,,E190,19.0
399,N358JB,,E190,14.0
400,VP-BRU,,E190,20.0
401,XA-AEP,,E190,19.0
402,LV-CMB,,E190,13.0
403,PH-EXC,,E190,8.0
404,PH-EXA,,E190,8.0
405,CS-TPO,,E190,25.0
406,4K-AZ64,,E190,20.0
407,F-HBLN,,E190,3.0
408,PH-EZU,,E190,8.0
409,PH-EXV,,E190,8.0
410,F-HBLH,,E190,3.0
411,XA-AEH,,E190,19.0
412,PH-EZT,Embraer E190STD,E190,8.0
413,XA-AEL,,E190,19.0
414,CS-TPX,,E190,25.0
415,5Y-FFA,,E190,26.0
416,LV-CMA,,E190,13.0
417,D-AZFA,,E190,27.0
418,5Y-FFB,Embraer E190AR,E190,26.0
419,XA-ACT,Embraer E190LR,E190,19.0
420,LV-CDZ,,E190,13.0
421,XA-AEN,,E190,19.0
422,XA-HAC,,E190,19.0
423,PH-EZW,,E190,8.0
424,D-AJHW,,E190,8.0
425,PH-EZA,,E190,8.0
426,XA-MAC,,E190,19.0
427,XA-ALW,,E190,19.0
428,CN-RGR,,E190,28.0
429,PH-EZV,,E190,8.0
430,XA-GAE,Embraer E190LR,E190,19.0
431,YV3071,,E190,24.0
432,N112BZ,,E190,22.0
433,N258JB,,E190,14.0
434,XA-JAC,,E190,19.0
435,SU-BVI,,E190,29.0
436,I-JEND,,E190,30.0
437,N375JB,,E190,14.0
438,OH-LKG,,E190,17.0
439,LV-CPI,,E190,13.0
440,CS-TPQ,,E190,25.0
441,D-APRI,,E190,8.0
442,D-AECD,,E190,18.0
443,XA-ALU,,E190,19.0
444,HB-JVO,,E190,21.0
445,HI1074,,E190,12.0
446,RA-02741,,E190,31.0
447,LV-GIQ,,E190,13.0
448,LV-CET,Embraer E190AR,E190,13.0
449,CN-RGQ,,E190,28.0
450,N304JB,Embraer E190AR,E190,14.0
451,XA-AEF,,E190,32.0
452,N281JB,,E190,14.0
453,N266JB,,E190,14.0
454,XA-AEO,Embraer E190LR,E190,19.0
455,LN-WEC,,E290,
456,HB-AZH,,E290,21.0
457,LN-WEB,,E290,33.0
458,SP-LNM,,E195,4.0
459,SP-LNO,,E195,4.0
460,ZS-YDC,,E195,15.0
461,SP-LNH,,E195,4.0
462,SE-RSI,,E195,34.0
463,PR-AUH,,E195,35.0
464,CS-TAX,,E195,25.0
465,N198BZ,,E195,22.0
466,PR-AUJ,,E195,35.0
467,CS-TAW,Embraer E195LR,E195,25.0
468,OE-LWA,,E195,36.0
469,SP-LNK,,E195,4.0
470,JY-EMA,,E195,9.0
471,N190BZ,,E195,22.0
472,PR-AXT,,E195,35.0
473,OY-GDC,,E195,37.0
474,OE-LWM,,E195,36.0
475,CS-TTZ,,E195,25.0
476,CS-TTX,,E195,25.0
477,OE-LWK,,E195,36.0
478,I-ADJV,,E195,18.0
479,PR-AXR,,E195,35.0
480,I-ADJS,,E195,30.0
481,I-JENB,,E195,30.0
482,PR-AUM,,E195,35.0
483,EW-399PO,,E195,38.0
484,PR-AUE,,E195,35.0
485,SE-RSP,Embraer E195LR,E195,34.0
486,I-ADJW,,E195,18.0
487,OE-LWN,Embraer E195LR,E195,36.0
488,PR-AXI,,E195,35.0
489,N140BZ,,E195,22.0
490,4O-AOB,,E195,39.0
491,PR-AXJ,,E195,35.0
492,PR-AYW,,E195,35.0
493,PR-AXG,,E195,35.0
494,N137BZ,Embraer E195LR,E195,22.0
495,PR-AXO,,E195,35.0
496,4X-EMF,,E195,40.0
497,CS-TTW,,E195,
498,OE-LWE,,E195,36.0
499,C-GZQM,,E295,41.0
500,C-GKQY,,E295,41.0
501,C-GKQR,,E295,41.0
502,C-GKQV,,E295,41.0
503,EC-NEZ,,E295,27.0
504,C-GZQK,,E295,41.0
505,EC-OEA,,E295,27.0
506,C-GKQZ,,E295,41.0
507,C-GKQN,Embraer E195-E2,E295,41.0
508,C-GKQX,,E295,41.0
509,C-GKQO,,E295,41.0
510,EC-NNV,,E295,27.0
511,PS-AEG,,E295,35.0
512,PS-AEI,,E295,35.0
513,PS-AEN,,E295,35.0
514,HB-AZK,,E295,42.0
515,C-GZQV,,E295,41.0
516,PH-NXP,,E295,8.0
517,PH-NXE,,E295,8.0
518,C-GZQF,,E295,41.0
519,PS-AEH,,E295,35.0
520,PH-NXA,,E295,8.0
521,OO-ETB,,E295,43.0
522,PH-NXI,,E295,8.0
523,PS-AEF,,E295,35.0
524,PS-AEB,,E295,35.0
525,PS-AEC,,E295,35.0
526,C-GZQB,Embraer E195-E2,E295,41.0
527,C-GKQT,Embraer E195-E2,E295,41.0
528,PH-NXG,,E295,8.0
529,5N-BYJ,,E295,44.0
530,PH-NXD,,E295,8.0
531,OO-ETA,,E295,43.0
532,PH-NXO,Embraer E195-E2,E295,8.0
533,PH-NXR,,E295,8.0
534,PS-AEM,,E295,35.0
535,HB-AZJ,,E295,
536,C-GKQQ,,E295,41.0
537,N808AE,,E135,45.0
538,N16525,,E135,45.0
539,N251JX,,E135,46.0
540,N16502,,E135,45.0
541,N403RW,,E135,
542,N257JX,,E135,46.0
543,N268JX,,E135,46.0
544,N530CN,,E135,45.0
545,N254JX,,E135,46.0
546,N640AE,,E145,2.0
547,N670AE,,E145,2.0
548,N244JX,,E145,46.0
549,N918JX,Embraer ERJ-145LR,E145,46.0
550,N947JX,,E145,46.0
551,N954JX,,E145,46.0
552,N958JX,,E145,46.0
553,ZS-MIF,,E145,47.0
554,N950JX,,E145,46.0
555,N914JX,,E145,46.0
556,VQ-TAB,,E145,48.0
557,N242JX,,E145,46.0
558,N972DC,,E145,49.0
559,N691AE,,E145,2.0
560,G-SAJF,,E145,50.0
561,N942LL,,E145,2.0
562,N650AE,,E145,51.0
563,ZS-FJA,,E145,52.0
564,N660CL,Embraer ERJ-145LR,E145,2.0
565,N653AE,Embraer ERJ-145LR,E145,2.0
566,N625AE,,E145,2.0
567,N961JX,,E145,46.0
568,N912JX,,E145,46.0
569,N685AE,Embraer ERJ-145LR,E145,2.0
570,N656AE,,E145,2.0
571,C6-GAR,,E145,53.0
572,N681AE,,E145,2.0
573,HK-5330,,E145,54.0
574,N825HK,,E145,
575,N937JX,,E145,46.0
576,9G-AEU,,E145,55.0
577,N245JX,,E145,46.0
578,N647AE,,E145,2.0
579,C6-PAM,,E145,53.0
580,N926JX,,E145,46.0
581,N683AE,,E145,2.0
582,N659AE,Embraer ERJ-145LR,E145,2.0
583,N672AE,,E145,2.0
584,XA-PFL,,E145,
585,N669MB,,E145,51.0
586,N971DC,,E145,49.0
587,N908AE,,E145,2.0
