airport_name,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_region_name,airport_country_code,id
Buffalo Niagara International Airport,BUF,KBUF,42.9405,-78.7322,New York,US,119
Mexico City International Airport,MEX,MMMX,19.4363,-99.0721,Mexico,MX,120
Trondheim Airport,TRD,ENVA,63.4578,10.924,Nord-Trondelag,NO,121
Cancun International Airport,CUN,MMUN,21.0365,-86.8771,Quintana Roo,MX,122
Kazan International Airport,KZN,UWKD,55.6062,49.2787,"Tatarstan, Respublika",RU,123
Orlando International Airport,MCO,KMCO,28.4294,-81.309,Florida,US,124
Paris Charles de Gaulle Airport,CDG,LFPG,49.0097,2.54778,Ile-de-France,FR,125
Zurich Airport,ZRH,LSZH,47.4647,8.54917,Zurich,CH,126
Bologna Guglielmo Marconi Airport,BLQ,LIPE,44.5354,11.2887,Emilia-Romagna,IT,127
Esenboga International Airport,ESB,LTAC,40.1281,32.9951,Ankara,TR,128
Goteborg Landvetter Airport,GOT,ESGG,57.6628,12.2798,Vastra Gotalands lan,SE,129
Carlos Rovirosa Perez International Airport,VSA,MMVA,17.997,-92.8174,Tabasco,MX,130
Bachigualato Federal International Airport,CUL,MMCL,24.7645,-107.475,Sinaloa,MX,131
John Wayne Airport (Orange County Airport),SNA,KSNA,33.6757,-117.868,California,US,132
Poznań–Ławica Henryk Wieniawski Airport,POZ,EPPO,52.421,16.8263,Wielkopolskie,PL,133
Astor Piazzolla International Airport,MDQ,SAZM,-37.9342,-57.5733,Buenos Aires,AR,134
Oslo Airport,OSL,ENGM,60.1939,11.1004,Akershus,NO,135
Blaise Diagne International Airport,DSS,GOBD,14.67,-17.0733,Thies,SN,136
Francisco Sarabia International Airport,TRC,MMTC,25.5683,-103.411,Coahuila de Zaragoza,MX,137
Venice Marco Polo Airport,VCE,LIPZ,45.5053,12.3519,Veneto,IT,138
Santiago Marino Caribbean International Airport,PMV,SVMG,10.9126,-63.9666,Nueva Esparta,VE,139
Adolfo Suarez Madrid-Barajas Airport,MAD,LEMD,40.4719,-3.56264,"Madrid, Comunidad de",ES,140
Palm Beach International Airport,PBI,KPBI,26.6832,-80.0956,Florida,US,141
Aeroparque Internacional Jorge Newbery,AEP,SABE,-34.5589,-58.4164,Buenos Aires,AR,142
Abeid Amani Karume International Airport,ZNZ,HTZA,-6.22202,39.2249,Mjini Magharibi,TZ,143
Manchester Airport,MAN,EGCC,53.3537,-2.27495,England,GB,144
Heydar Aliyev International Airport,GYD,UBBB,40.4675,50.0467,Baki,AZ,145
Ministro Pistarini International Airport,EZE,SAEZ,-34.8222,-58.5358,Buenos Aires,AR,146
Hannover Airport,HAJ,EDDV,52.4611,9.68508,Niedersachsen,DE,147
Aalborg Airport,AAL,EKYT,57.0928,9.84924,Nordjylland,DK,148
Bilbao Airport,BIO,LEBB,43.3011,-2.91061,Pais Vasco,ES,149
Seville Airport,SVQ,LEZL,37.418,-5.89311,Andalucia,ES,150
Billund Airport,BLL,EKBI,55.7403,9.15178,Syddanmark,DK,151
Lisbon Portela Airport,LIS,LPPT,38.7813,-9.13592,Lisboa,PT,152
Entebbe International Airport,EBB,HUEN,0.042386,32.4435,Kampala,UG,153
Toulouse-Blagnac Airport,TLS,LFBO,43.6291,1.36382,Occitanie,FR,154
Julius Nyerere International Airport,DAR,HTDA,-6.87811,39.2026,Dar es Salaam,TZ,155
Manuel Marquez de Leon International Airport,LAP,MMLP,24.0727,-110.362,Baja California Sur,MX,156
Lic. Jesus Teran Peredo International Airport,AGU,MMAS,21.7056,-102.318,Aguascalientes,MX,157
Ponciano Arriaga International Airport,SLP,MMSP,22.2543,-100.931,San Luis Potosi,MX,158
Gdansk Lech Walesa Airport,GDN,EPGD,54.3776,18.4662,Pomorskie,PL,159
Southampton Airport,SOU,EGHI,50.9503,-1.3568,England,GB,160
Bordeaux-Merignac Airport,BOD,LFBD,44.8283,-0.715556,Nouvelle-Aquitaine,FR,161
Bahias de Huatulco International Airport,HUX,MMBT,15.7753,-96.2626,Oaxaca,MX,162
Ciudad Obregon International Airport,CEN,MMCN,27.3926,-109.833,Sonora,MX,163
Birmingham Airport,BHX,EGBB,52.4539,-1.74803,England,GB,164
Queretaro Intercontinental Airport,QRO,MMQT,20.6173,-100.186,Queretaro,MX,165
Grantley Adams International Airport,BGI,TBPB,13.0746,-59.4925,Christ Church,BB,166
Richmond International Airport,RIC,KRIC,37.5052,-77.3197,Virginia,US,167
Cairo International Airport,CAI,HECA,30.1219,31.4056,Al Qahirah,EG,168
Milan-Malpensa Airport,MXP,LIMC,45.6306,8.72811,Lombardia,IT,169
Dusseldorf Airport,DUS,EDDL,51.2895,6.76678,Nordrhein-Westfalen,DE,170
Valencia Airport,VLC,LEVC,39.4893,-0.481625,"Valenciana, Comunidad",ES,171
Kristiansand Airport,KRS,ENCN,58.2042,8.08537,Vest-Agder,NO,172
Ivanovo Yuzhny Airport,IWA,UUBI,56.9394,40.9408,Irkutskaya oblast',RU,173
Juan Santamaria International Airport,SJO,MROC,9.99386,-84.2088,Alajuela,CR,174
Bergen Airport,BGO,ENBR,60.2934,5.21814,Hordaland,NO,175
Vilnius Airport,VNO,EYVI,54.6341,25.2858,-,LT,176
O. R. Tambo International Airport,JNB,FAOR,-26.1392,28.246,Gauteng,ZA,177
Chisinau International Airport,KIV,LUKK,46.9277,28.931,Chisinau,MD,178
Governador Jorge Teixeira de Oliveira International Airport,PVH,SBPV,-8.70929,-63.9023,Rondonia,BR,179
Gatwick Airport,LGW,EGKK,51.1481,-0.190278,England,GB,180
Carrasco Gral. Cesareo L. Berisso International Airport,MVD,SUMU,-34.8384,-56.0308,Montevideo,UY,181
Belgrade Nikola Tesla Airport,BEG,LYBE,44.8184,20.3091,Beograd,RS,182
King Khalid International Airport,RUH,OERK,24.9576,46.6988,Ar Riyad,SA,183
Vienna International Airport,VIE,LOWW,48.1103,16.5697,Niederosterreich,AT,184
Foz do Iguacu International Airport,IGU,SBFI,-25.6003,-54.485,Parana,BR,185
Turin Airport (Caselle Airport),TRN,LIMF,45.2008,7.64963,Piemonte,IT,186
Munich Airport,MUC,EDDM,48.3538,11.7861,Bayern,DE,187
Salgado Filho International Airport,POA,SBPA,-29.9944,-51.1714,Rio Grande do Sul,BR,188
Minsk National Airport,MSQ,UMMS,53.8825,28.0307,Minskaya voblasts',BY,189
Porto Seguro Airport,BPS,SBPS,-16.4386,-39.0809,Bahia,BR,190
Cologne Bonn Airport,CGN,EDDK,50.8659,7.14274,Nordrhein-Westfalen,DE,191
Charleston International Airport / Charleston Air Force Base,CHS,KCHS,32.8986,-80.0405,South Carolina,US,192
Podgorica Airport,TGD,LYPG,42.3594,19.2519,Podgorica,ME,193
Ilheus Jorge Amado Airport,IOS,SBIL,-14.816,-39.0332,Bahia,BR,194
Ben Gurion Airport,TLV,LLBG,32.0114,34.8867,Tel Aviv,IL,195
Innsbruck Airport (Kranebitten Airport),INN,LOWI,47.2602,11.344,Tirol,AT,196
Calgary International Airport,YYC,CYYC,51.1139,-114.02,Alberta,CA,197
Vancouver International Airport,YVR,CYVR,49.1939,-123.184,British Columbia,CA,198
Florence Airport,FLR,LIRQ,43.81,11.2051,Toscana,IT,199
Halifax Stanfield International Airport,YHZ,CYHZ,44.8808,-63.5086,Nova Scotia,CA,200
Recife/Guararapes-Gilberto Freyre International Airport,REC,SBRF,-8.12649,-34.9236,Pernambuco,BR,201
Zumbi dos Palmares International Airport,MCZ,SBMO,-9.51081,-35.7917,Alagoas,BR,202
Kittila Airport,KTT,EFKT,67.701,24.8468,Lappi,FI,203
Stavanger Airport,SVG,ENZV,58.8767,5.63778,Rogaland,NO,204
Glasgow Airport,GLA,EGPF,55.8719,-4.43306,Scotland,GB,205
Warri Airport (Osubi Airport),QRW,DNSU,5.59611,5.81778,Delta,NG,206
George Best Belfast City Airport,BHD,EGAC,54.6181,-5.8725,Northern Ireland,GB,207
Hamburg Airport,HAM,EDDH,53.6304,9.98823,Hamburg,DE,208
Amsterdam Airport Schiphol,AMS,EHAM,52.3086,4.76389,Noord-Holland,NL,209
Ottawa Macdonald-Cartier International Airport,YOW,CYOW,45.3225,-75.6692,Ontario,CA,210
Page Municipal Airport,PGA,KPGA,36.9261,-111.448,Arizona,US,211
Fort Worth Meacham International Airport,FTW,KFTW,32.8198,-97.3624,Texas,US,212
Rocky Mountain Metropolitan Airport,BJC,KBJC,39.9088,-105.117,Colorado,US,213
Ogdensburg International Airport,OGS,KOGS,44.6819,-75.4655,New York,US,214
Dallas Love Field,DAL,KDAL,32.8471,-96.8518,Texas,US,215
Miami-Opa Locka Executive Airport,OPF,KOPF,25.907,-80.2784,Florida,US,216
